Date,Open,High,Low,Close,Adj Close,Volume
11/14/2017,8.38,8.47,8.13,8.21,8.21,4083000
11/15/2017,8.04,8.23,7.96,8.16,8.16,3324400
11/16/2017,8.14,8.33,8.14,8.27,8.27,2539400
11/17/2017,8.3,8.46,8.26,8.29,8.29,3018700
11/20/2017,8.31,8.5,8.31,8.39,8.39,3179700
11/21/2017,8.45,8.678,8.401,8.61,8.61,3137300
11/22/2017,8.74,8.78,8.57,8.58,8.58,3691100
11/24/2017,8.61,8.67,8.5,8.58,8.58,1440700
11/27/2017,8.53,8.74,8.37,8.63,8.63,3079700
11/28/2017,8.63,8.77,8.617,8.72,8.72,2496600
11/29/2017,8.68,8.72,8.4,8.63,8.63,3156500
11/30/2017,8.69,8.69,8.46,8.54,8.54,2335500
12/1/2017,8.47,8.71,8.45,8.51,8.51,2749300
12/4/2017,8.56,8.645,8.21,8.23,8.23,3683700
12/5/2017,8.2,8.295,8.04,8.14,8.14,3256200
12/6/2017,8.08,8.16,7.89,7.92,7.92,4015900
12/7/2017,7.95,8.08,7.91,7.99,7.99,2846600
12/8/2017,7.98,8.2,7.94,8.02,8.02,3175200
12/11/2017,8.01,8.225,8.01,8.2,8.2,2454500
12/12/2017,8.16,8.22,8.02,8.03,8.03,2362700
12/13/2017,8.01,8.18,7.99,7.99,7.99,4181700
12/14/2017,7.99,8.08,7.84,7.84,7.84,4356300
12/15/2017,7.88,8.13,7.87,8.04,8.04,4892800
12/18/2017,8.02,8.16,8.005,8.06,8.06,3612000
12/19/2017,8.06,8.125,8.019,8.08,8.08,2294100
12/20/2017,8.03,8.13,7.93,8.04,8.04,2464100
12/21/2017,8.02,8.265,8.013,8.08,8.08,2998800
12/22/2017,8.21,8.22,7.85,7.95,7.95,3367500
12/26/2017,7.92,8,7.85,7.85,7.85,2514700
12/27/2017,7.83,7.85,7.65,7.67,7.67,3766300
12/28/2017,7.67,7.75,7.66,7.69,7.69,2128700
12/29/2017,7.7,7.7,7.4,7.57,7.57,5252600
1/2/2018,7.63,7.649,7.39,7.44,7.44,5482800
1/3/2018,7.5,7.7,7.44,7.49,7.49,4969600
1/4/2018,7.57,7.635,7.45,7.57,7.57,3337000
1/5/2018,7.65,7.8,7.475,7.52,7.52,3715800
1/8/2018,6.69,7.18,5.04,6.56,6.56,59776700
1/9/2018,6.25,6.34,6.07,6.17,6.17,15730800
1/10/2018,6.1,6.13,5.93,6.05,6.05,7486500
1/11/2018,6,6.26,5.96,6.15,6.15,5255300
1/12/2018,6.13,6.27,6.04,6.23,6.23,5148000
1/16/2018,6.21,6.46,6.16,6.36,6.36,7055800
1/17/2018,6.4,6.605,6.26,6.34,6.34,5582700
1/18/2018,6.25,6.39,6.195,6.27,6.27,2618300
1/19/2018,6.24,6.33,6.23,6.29,6.29,3000400
1/22/2018,6.22,6.3,6.2,6.3,6.3,1902100
1/23/2018,5.89,6.17,5.85,6.12,6.12,6589500
1/24/2018,6.07,6.22,5.93,6.1,6.1,4441900
1/25/2018,6.15,6.15,5.94,5.96,5.96,4375800
1/26/2018,5.96,5.986,5.61,5.65,5.65,7870400
1/29/2018,5.61,5.65,5.29,5.32,5.32,8703700
1/30/2018,5.24,5.57,5.24,5.47,5.47,5355900
1/31/2018,5.56,5.63,5.38,5.47,5.47,2986900
2/1/2018,5.43,5.53,5.36,5.5,5.5,3623200
2/2/2018,5.27,5.75,5.13,5.55,5.55,8651900
2/5/2018,5.56,5.73,5.38,5.52,5.52,5358900
2/6/2018,5.4,5.7,5.4,5.63,5.63,4564400
